1;0;42;160312095805
2;1;45;165410029135
3;1;20;163711072508
4;1;22;164001229071
5;0;50;168003123182
6;0;33;163110014978
7;1;31;164409029792
8;0;45;161702206069
9;1;21;166401172967
10;1;23;168207120711
11;0;32;165004153978
12;0;36;163211061472
13;0;33;167911223019
14;1;38;160806113510
15;1;48;161801176056
16;1;31;165606132149
17;0;39;169808220215
18;0;45;161011167036
19;0;35;167710100343
20;0;40;160709112775
21;1;31;164004304665
22;0;34;165708232474
23;0;41;163002217531
24;0;45;168510237913
25;1;43;167704053722
26;0;43;163901187702
27;1;45;166810092327
28;1;42;163505171151
29;0;25;167206309309
30;0;20;167110253239
31;1;22;163705216830
32;0;42;164111113611
33;1;29;165709230352
34;0;49;167810146337
35;0;31;160007285752
36;1;38;168805276907
37;0;30;161011117874
38;1;31;169002205244
39;1;49;165401090534
40;0;38;169909127558
41;0;42;166201111546
42;0;43;167111194127
43;0;30;165706299418
44;0;42;165905284039
45;0;45;163411302866
46;0;23;169312023881
47;1;35;162409107139
48;1;40;167403203818
49;1;40;162906277229
50;1;31;165907249980
51;1;35;163201060419
52;0;35;167004022757
53;0;45;169005150728
54;0;25;160210204897
55;0;38;168704192981
56;1;35;167912154064
57;0;48;160701182792
58;1;35;160509219523
59;0;30;163907063287
60;1;20;168807080497
61;1;21;165203071716
62;1;39;168611228167
63;0;35;168001274375
64;0;24;167307202056
65;1;28;160202118212
66;0;41;163405211917
67;0;21;161403308099
68;1;27;166311141144
69;0;42;167702276002
70;1;50;164002111021
71;0;46;161711108405
72;1;30;167711253794
73;0;34;166907155656
74;1;38;165101010063
75;1;25;161512109008
76;0;48;162712139076
77;0;36;164412211213
78;0;37;167411176477
79;1;34;160102152717
80;0;28;167012241654
81;1;31;167001125595
82;1;26;164602304711
83;1;41;161710164052
84;0;32;165509156500
85;1;50;167212202266
86;0;42;169506131417
87;1;25;164203079803
88;0;48;164410301602
89;1;27;164606290692
90;1;36;166603279636
91;1;47;166005057762
92;0;46;162906069170
93;0;37;161009253319
94;1;36;162601289537
95;0;34;160904034220
96;1;36;162309069470
97;1;22;160004043345
98;1;45;166003079149
99;0;24;162501075150
100;1;21;164711113391
